target_x,target_y,target_z,target_radius,miss_distance,t_closest,closest_x,closest_y,closest_z,apogee,impact_time,max_gimbal_pitch_deg,max_gimbal_yaw_deg,waypoint_index,waypoint_count,final_waypoint_reached,ground_terminated,terminal_guidance
-21.817743,7.727397,20.996094,31.250000,14.654822,0.956779,-9.915559,2.763260,27.957356,1071.335831,33.810000,30.000000,29.996552,0,1,1,1,1
10.727308,-20.171171,21.321615,31.250000,14.672470,0.973833,5.838768,-8.872758,29.304686,766.124148,28.592000,30.000000,29.995236,0,1,1,1,1
5.638346,21.821390,21.647135,31.250000,13.376589,0.991907,4.086765,11.069996,29.453112,668.216087,26.820000,30.000000,29.996028,0,1,1,1,1
-18.631682,-12.108893,21.972656,31.250000,13.312063,0.972432,-8.828578,-5.966146,28.558764,1094.021571,34.173000,30.000000,29.996883,0,1,1,1,1
21.595645,-3.603041,22.298177,31.250000,11.905552,1.003934,12.028897,-4.259664,29.354263,604.577736,25.603000,30.000000,29.551105,0,1,1,1,1
-13.282781,16.979355,22.623698,31.250000,14.479032,0.931420,-7.404947,4.952156,28.140935,1473.463043,39.647000,30.000000,29.992718,0,1,1,1,1
-1.648128,-21.146620,22.949219,31.250000,14.611748,0.932357,-2.191964,-7.740717,28.736203,1551.801848,40.705000,30.000000,29.992718,0,1,1,1,1
15.238217,14.235370,23.274740,31.250000,9.851505,1.002027,8.318969,10.409119,29.151470,654.563259,26.594000,30.000000,29.925653,0,1,1,1,1
-20.482926,-0.199850,23.600260,31.250000,12.136040,0.967193,-9.637087,0.664601,28.976500,1284.960275,37.028000,30.000000,27.790723,0,1,1,1,1
14.954902,-13.433927,23.925781,31.250000,8.472944,1.012320,10.264634,-8.878466,29.314652,646.567712,26.450000,30.000000,29.993417,0,1,1,1,1
-1.914526,19.615592,24.251302,31.250000,12.073205,0.963597,-0.862176,9.002200,29.909107,1190.107711,35.444000,30.000000,29.993805,0,1,1,1,1
-11.593690,-15.431417,24.576823,31.250000,10.288860,0.966544,-8.123006,-6.724476,28.819957,1344.603419,37.892000,30.000000,29.994169,0,1,1,1,1
18.557936,3.469694,24.902344,31.250000,9.875566,0.986132,10.378307,1.974910,30.230204,833.614794,29.748000,30.000000,1.279204,0,1,1,1,1
-15.656597,9.746195,25.227865,31.250000,9.134124,0.970960,-10.100385,3.540460,28.976142,1363.755067,38.166000,30.000000,29.993678,0,1,1,1,1
4.839163,-17.325400,25.553385,31.250000,9.742300,0.971647,2.548797,-9.071961,30.195298,1216.314860,35.838000,30.000000,29.993805,0,1,1,1,1
7.921649,15.623450,25.878906,31.250000,5.508155,1.009514,6.258178,11.652196,29.314277,790.102798,29.093000,30.000000,29.994050,0,1,1,1,1
-15.935300,-5.996392,26.204427,31.250000,8.082759,0.977441,-8.991296,-3.640949,29.604969,1481.391335,39.861000,30.000000,27.861654,0,1,1,1,1
15.325733,-6.151931,26.529948,31.250000,4.694999,0.997732,11.381495,-6.301268,29.072328,912.596898,31.156000,30.000000,29.923900,0,1,1,1,1
-6.913757,14.406466,26.855469,31.250000,8.249303,0.958067,-4.890692,7.075200,30.050895,1731.986088,43.175000,30.000000,29.991087,0,1,1,1,1
