# Simulation 6 (Up to date)
# 716 data points written for 10 variables.
#
# Time (s),Altitude (m),Mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N),Drag coefficient (​),Normal force coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
43.738629,194.805778,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
43.939593,194.015558,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
44.140436,193.225732,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
44.34133,192.435865,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
44.542223,191.645911,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
44.74304,190.856157,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
44.943853,190.066543,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
45.144702,189.276906,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
45.345546,188.48748,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
45.546462,187.697704,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
45.747241,186.908241,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
45.948012,186.119401,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
46.149061,185.329621,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
46.349881,184.540215,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
46.550631,183.751089,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
46.751423,182.961898,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
46.952194,182.172719,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
47.15292,181.384829,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
47.354228,180.594977,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
47.555087,179.805789,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
47.755805,179.016942,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
47.956526,178.228099,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
48.157221,177.439391,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
48.357929,176.650824,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
48.558691,175.862054,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
48.759374,175.0735,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
48.960057,174.28503,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
49.160753,173.496837,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
49.361573,172.708398,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
49.562361,171.919828,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
49.763021,171.13192,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
49.963859,170.343425,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
50.164546,169.555163,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
50.36517,168.767029,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
50.565768,167.979014,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
50.766368,167.191228,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
50.967058,166.40318,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
51.167674,165.615669,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
51.368459,164.827599,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
51.569099,164.039714,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
52.069099,162.075959,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
52.26962,161.288477,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
52.47016,160.501277,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
52.670831,159.714497,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
52.87182,158.92686,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
53.072657,158.138908,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
53.273153,157.352244,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
53.473934,156.564661,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
53.674501,155.777429,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
53.875004,154.990316,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
54.075473,154.203332,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
54.275943,153.416369,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
54.476395,152.63012,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
54.677163,151.842659,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
54.8776,151.055937,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
55.078052,150.26928,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
55.278522,149.482626,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
55.478981,148.695949,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
55.679389,147.909841,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
55.880004,147.122951,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
56.080398,146.336785,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
56.28091,145.550317,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
56.481357,144.763888,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
56.681728,143.977688,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
56.88211,143.191717,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
57.082589,142.405519,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
57.283021,141.619451,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
57.483441,140.833289,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
57.683771,140.047424,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
57.884134,139.261538,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
58.084488,138.475647,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
58.284801,137.689872,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
58.485102,136.904161,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
58.685394,136.118633,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
58.88574,135.332954,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
59.086034,134.547394,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
59.286306,133.76205,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
59.486636,132.976825,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
59.687056,132.191281,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
59.887373,131.405849,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
60.087613,130.620736,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
60.28791,129.835427,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
60.488135,129.050375,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
60.688387,128.265278,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
60.888616,127.480238,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
61.088819,126.69529,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
61.289013,125.910489,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
61.489245,125.125598,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
61.689439,124.340827,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
61.889625,123.556123,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
62.089808,122.771431,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
62.289965,121.986871,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
62.490133,121.202594,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
62.690426,120.418186,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
62.890749,119.633396,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
63.090876,118.849134,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
63.291047,118.06478,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
63.491186,117.280482,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
63.691291,116.497063,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
63.891782,115.712188,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
64.091885,114.928182,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
64.292014,114.144084,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
64.492093,113.360175,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
64.692188,112.576291,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
64.892282,111.792418,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
65.092351,111.008614,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
65.292402,110.225432,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
65.49272,109.441404,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
65.692846,108.657613,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
65.89287,107.874495,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
66.093107,107.090896,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
66.293281,106.307674,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
66.493555,105.523834,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
66.693584,104.74045,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
66.89357,103.957241,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
67.093575,103.17481,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
67.293965,102.390846,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
67.493928,101.608047,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
67.694029,100.824762,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
67.893991,100.042046,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
68.094074,99.258899,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
68.294029,98.476115,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
68.494012,97.693242,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
68.693946,96.910518,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
68.89388,96.127814,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
69.093794,95.345211,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
69.29371,94.562895,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
69.493744,93.780105,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
69.693626,92.998034,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
69.893693,92.215287,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
70.093569,91.433022,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
70.293473,90.651026,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
70.493511,89.869059,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
70.69367,89.086341,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
70.893535,88.304365,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
71.093456,87.522199,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
71.293308,86.740263,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
71.493177,85.958233,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
71.692986,85.176411,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
71.892813,84.394565,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
72.092615,83.613355,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
72.292689,82.831131,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
72.492486,82.049544,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
72.692303,81.267902,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
72.892082,80.48691,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
73.092126,79.704882,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
73.291875,78.923558,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
73.491661,78.142144,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
73.691409,77.360915,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
73.891182,76.579619,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
74.090917,75.798413,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
74.290631,75.017347,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
74.490367,74.236297,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
74.690103,73.455251,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
74.889811,72.674268,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
75.089495,71.893385,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
75.289176,71.112608,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
75.488879,70.331925,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
75.688624,69.551056,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
76.188624,67.596042,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
76.388247,66.815711,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
76.587958,66.035092,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
76.787582,65.254694,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
76.987202,64.474337,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
77.18681,63.69457,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
77.386678,62.913936,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
77.586333,62.133639,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
77.785919,61.353539,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
77.985507,60.57346,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
78.185079,59.793833,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
78.384836,59.013609,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
78.584444,58.233867,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
78.78412,57.453796,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
78.983667,56.674009,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
79.1832,55.894386,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
79.382775,55.114954,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
79.58246,54.335213,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
79.782068,53.555556,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
79.981612,52.775987,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
80.181107,51.996553,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
80.380596,51.218524,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
80.580769,50.438261,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
80.78045,49.658625,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
81.28045,47.705534,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
81.479898,46.926477,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
81.679341,46.147611,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
81.878848,45.368567,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
82.078298,44.589909,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
82.277861,43.811165,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
82.477463,43.032029,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
82.676874,42.253338,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
82.876294,41.474652,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
83.075694,40.696262,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
83.275198,39.917583,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
83.47463,39.138981,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
83.673998,38.3606,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
83.873388,37.582201,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
84.07276,36.803883,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
84.272128,36.026171,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
84.471773,35.247374,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
84.67111,34.469215,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
84.870436,33.691235,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
85.069815,32.91322,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
85.269199,32.135092,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
85.468501,31.357164,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
85.667796,30.579507,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
85.867192,29.801902,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
86.066687,29.024245,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
86.266226,28.246077,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
86.465518,27.468388,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
86.66478,26.690795,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
86.86403,25.913269,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
87.063276,25.135791,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
87.262512,24.358396,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
87.461752,23.581475,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
87.66121,22.803721,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
87.860431,22.026498,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
88.059656,21.249415,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
88.25893,20.472161,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
88.458136,19.695093,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
88.657339,18.918113,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
88.856556,18.141187,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
89.055786,17.364301,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
89.255021,16.587314,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
89.454179,15.810636,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
89.653392,15.034041,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
89.852671,14.257186,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
90.051854,13.480472,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
90.250986,12.703894,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
90.450108,11.92769,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
90.649381,11.151067,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
90.848563,10.374666,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
91.047738,9.59832,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
91.246905,8.822341,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
91.446225,8.045648,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
91.645302,7.269485,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
91.844378,6.49337,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
92.043451,5.717484,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
92.242607,4.941324,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
92.441679,4.165341,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
92.640728,3.38954,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
92.839819,2.613704,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
93.038904,1.837912,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
# Event GROUND_HIT occurred at t=93.511 seconds
# Event SIMULATION_END occurred at t=93.511 seconds
93.510735,0,53.728053,6.83986e-4,9.244777e-6,0,18.806609,0,115.2,NaN
