time,height,velocity,pitch
1.590000,31.550776,17.197074,2.000000
1.600000,31.720093,16.931723,2.000000
1.610000,31.886701,16.660823,2.000000
1.620000,32.050542,16.384064,2.000000
1.630000,32.211553,16.101100,2.000000
1.640000,32.369668,15.811544,2.000000
1.650000,32.524818,15.514964,2.000000
1.660000,32.676927,15.210871,2.000000
1.670000,32.825914,14.898715,2.000000
1.680000,32.971692,14.577865,2.000000
1.690000,33.114168,14.247604,2.000000
1.700000,33.253239,13.907102,2.000000
1.710000,33.388793,13.555396,2.000000
1.720000,33.520707,13.191355,2.000000
1.730000,33.648843,12.813642,2.000000
1.740000,33.773050,12.420651,2.000000
1.750000,33.893154,12.010436,2.000000
1.760000,34.008960,11.580589,2.000000
1.770000,34.120241,11.128087,2.000000
1.780000,34.226731,10.649036,2.000000
1.790000,34.328114,10.138290,2.000000
1.800000,34.424002,9.588801,2.000000
1.810000,34.513907,8.990480,2.000000
1.820000,34.597187,8.328009,2.000000
1.830000,34.672948,7.576104,2.000000
1.840000,34.739823,6.687470,2.000000
1.850000,34.795350,5.552691,2.000000
1.860000,34.833070,3.772072,2.000000
1.870000,34.858963,2.589223,2.000000
1.880000,34.878763,1.980040,2.000000
1.890000,34.894594,1.583072,2.000000
1.900000,34.907533,1.293940,2.000000
1.910000,34.918215,1.068228,2.000000
1.920000,34.927047,0.883164,2.000000
1.930000,34.934303,0.725633,2.000000
1.940000,34.940178,0.587423,2.000000
1.950000,34.944808,0.463049,2.000000
1.960000,34.948295,0.348636,2.000000
1.970000,34.950708,0.241303,2.000000
1.980000,34.952096,0.138797,2.000000
1.990000,34.952488,0.039262,2.000000
2.000000,34.951899,0.058922,2.000000
2.010000,34.950332,0.156724,2.000000
2.020000,34.947803,0.252918,2.000000
2.030000,34.944341,0.346108,2.000000
2.040000,34.939991,0.435041,2.000000
2.050000,34.934804,0.518679,2.000000
2.060000,34.928842,0.596235,2.000000
2.070000,34.922170,0.667199,2.000000
2.080000,34.914857,0.731327,2.000000
2.090000,34.906970,0.788618,2.000000
2.100000,34.898578,0.839270,2.000000
2.110000,34.889741,0.883635,2.000000
2.120000,34.880520,0.922173,2.000000
2.130000,34.870966,0.955405,2.000000
2.140000,34.861127,0.983880,2.000000
2.150000,34.851045,1.008145,2.000000
2.160000,34.840758,1.028725,2.000000
2.170000,34.830297,1.046109,2.000000
2.180000,34.819690,1.060742,2.000000
2.190000,34.808959,1.073025,2.000000
2.200000,34.798126,1.083310,2.000000
2.210000,34.787207,1.091904,2.000000
2.220000,34.776216,1.099073,2.000000
2.230000,34.765166,1.105044,2.000000
2.240000,34.754066,1.110011,2.000000
2.250000,34.742925,1.114140,2.000000
2.260000,34.731749,1.117568,2.000000
2.270000,34.720545,1.120413,2.000000
2.280000,34.709317,1.122772,2.000000
2.290000,34.698070,1.124728,2.000000
2.300000,34.686806,1.126348,2.000000
2.310000,34.675529,1.127690,2.000000
2.320000,34.664241,1.128802,2.000000
2.330000,34.652944,1.129722,2.000000
2.340000,34.641639,1.130483,2.000000
2.350000,34.630328,1.131114,2.000000
2.360000,34.619012,1.131635,2.000000
2.370000,34.607691,1.132066,2.000000
2.380000,34.596367,1.132423,2.000000
2.390000,34.585040,1.132718,2.000000
2.400000,34.573710,1.132962,2.000000
2.410000,34.562378,1.133164,2.000000
2.420000,34.551045,1.133330,2.000000
2.430000,34.539710,1.133468,2.000000
2.440000,34.528375,1.133582,2.000000
2.450000,34.517038,1.133676,2.000000
2.460000,34.505700,1.133754,2.000000
2.470000,34.494362,1.133818,2.000000
2.480000,34.483023,1.133871,2.000000
2.490000,34.471684,1.133914,2.000000
2.500000,34.460345,1.133950,2.000000
2.510000,34.449005,1.133980,2.000000
2.520000,34.437665,1.134004,2.000000
2.530000,34.426325,1.134024,2.000000
2.540000,34.414984,1.134040,2.000000
2.550000,34.403644,1.134054,2.000000
2.560000,34.392303,1.134065,2.000000
2.570000,34.380962,1.134074,2.000000
2.580000,34.369622,1.134081,2.000000
2.590000,34.358281,1.134087,2.000000
2.600000,34.346940,1.134092,2.000000
2.610000,34.335599,1.134095,2.000000
2.620000,34.324258,1.134098,2.000000
2.630000,34.312917,1.134101,2.000000
2.640000,34.301576,1.134103,2.000000
2.650000,34.290235,1.134104,2.000000
2.660000,34.278894,1.134105,2.000000
2.670000,34.267553,1.134106,2.000000
2.680000,34.256212,1.134106,2.000000
2.690000,34.244871,1.134106,2.000000
2.700000,34.233530,1.134106,2.000000
2.710000,34.222188,1.134106,2.000000
2.720000,34.210847,1.134106,2.000000
2.730000,34.199506,1.134106,2.000000
2.740000,34.188165,1.134106,2.000000
2.750000,34.176824,1.134105,2.000000
2.760000,34.165483,1.134105,2.000000
2.770000,34.154142,1.134104,2.000000
2.780000,34.142801,1.134104,2.000000
2.790000,34.131460,1.134103,2.000000
2.800000,34.120119,1.134102,2.000000
2.810000,34.108778,1.134102,2.000000
2.820000,34.097437,1.134101,2.000000
2.830000,34.086096,1.134100,2.000000
2.840000,34.074755,1.134100,2.000000
2.850000,34.063414,1.134099,2.000000
2.860000,34.052073,1.134098,2.000000
2.870000,34.040732,1.134097,2.000000
2.880000,34.029391,1.134097,2.000000
2.890000,34.018050,1.134096,2.000000
2.900000,34.006709,1.134095,2.000000
2.910000,33.995368,1.134094,2.000000
2.920000,33.984027,1.134094,2.000000
2.930000,33.972686,1.134093,2.000000
2.940000,33.961345,1.134092,2.000000
2.950000,33.950005,1.134091,2.000000
2.960000,33.938664,1.134091,2.000000
2.970000,33.927323,1.134090,2.000000
2.980000,33.915982,1.134089,2.000000
